ACCE_ABSORB_COST	Kombinasyon maliyeti: %d
CANNOT_POLY_STATUS	Þu anda dönüþemezsin.
CANNOT_PVP_MAP_MESSAGE	Bunu bu bölgede yapamazsýn.
CANNOT_SHOOT_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Bir oka ihtiyacým var.
CANNOT_SHOOT_SELF_IN_SAFE	Bunu yapamam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklaþamam.
CANNOT_SKILL_ATTACK	Saldýramam.
CANNOT_SKILL_BLUE	Kýrmýzý kurt ruhu etkinken, çivit kurt ruhunu kullanamazsýn.
CANNOT_SKILL_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir olta kuþanmadan balýk tutamazsýn.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmadan önce bir ata ihtiyacým var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Boþ bir þiþem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehirli þiþem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP yok!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP yok!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu at sürerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu beceriyi bu silahla kullanamam.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Bu beceriyi bu binekte kullanamazsýn.
CANNOT_SKILL_NOT_YET_LEARN	Bu beceriyi öðrenmedim.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Bu sadece grup üyelerini etkiler.
CANNOT_SKILL_ONLY_FOR_CORPSE	Bu sadece ölüleri etkiler.
CANNOT_SKILL_RED	Çivit kurt ruhu etkinken, kýrmýzý kurt ruhunu kullanamazsýn.
CANNOT_SKILL_REMOVE_FISHING_ROD	Bu beceriyi olta ile kullanamam.
CANNOT_SKILL_SELF_IN_SAFE	Buradan saldýramam.
CANNOT_SKILL_USE_SELF	Bunu kendi üzerimde yapamam.
CANNOT_SKILL_WAIT_COOLTIME	Henüz bu beceriyi kullanamam.
CANNOT_UNEQUIP_IN_BATTLE	Eþyayý çýkarmak için hareketsiz olmalýsýn.
CANNOT_USE	Onu kullanamazsýn.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Kötü eðilimin daha fazla düþürülemeyeceði için Zen Fasulyesini kullanamazsýn.
CANNOT_WHISPER_BLOCKED_TARGET	%s öncelikle engelleme listenden çýkarýlmalýdýr.	SA
CANNOT_WHISPER_DEST_REFUSE	%s fýsýldamayý blokladý.	SA
CANNOT_WHISPER_NOT_LOGON	%s baðlý deðil.	SA
CANNOT_WHISPER_SELF_REFUSE	Fýsýldamayý blokladýðýnda birine birþey fýsýldayamazsýn.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s seni engelledi.	SA
CANT_ATTACH_DUPLICATED_METIN_STONE	Ayný türden çok sayýda zihin taþý ekleyemezsin.
CANT_USE_MESSAGE_WHEN_EQUIP	Bunu kuþanýlan bir eþyada kullanamazsýn.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Kral destesi/desteleri alýrsýn.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Kral kartlarý alýrsýn.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Oynamak için yeterince nesne veya paran yok.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Baþka kral desteleri alamazsýn.
CATEGORY_ARMOR_ARMOR_BODY	Zýrhlar
CATEGORY_ARMOR_ARMOR_GLOVE	Eldiven
CATEGORY_ARMOR_ARMOR_HEAD	Miðferler
CATEGORY_ARMOR_ARMOR_SHIELD	Kalkanlar
CATEGORY_COSTUMES	Kostümler
CATEGORY_COSTUMES_AURA	Aura giysileri
CATEGORY_COSTUMES_COSTUME_BODY	Kostümler
CATEGORY_COSTUMES_COSTUME_HAIR	Saç Modelleri
CATEGORY_COSTUMES_COSTUME_WEAPON	Silah Görünümleri
CATEGORY_COSTUMES_ETC	Diðerleri
CATEGORY_COSTUMES_SASH	Omuz Kuþaklarý
CATEGORY_DRAGON_STONE	Ejderha Taþý Simyasý
CATEGORY_DRAGON_STONE_DEMON	Ametist
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Elmas
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Grena
CATEGORY_DRAGON_STONE_DRAGON_JADE	Yeþim
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Oniks
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Yakut
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Diðerleri
CATEGORY_EQUIPMENT_ARMOR	Ekipmanlar
CATEGORY_EQUIPMENT_JEWELRY	Mücevher
CATEGORY_EQUIPMENT_WEAPON	Silahlar
CATEGORY_ETC	Diðerleri
CATEGORY_ETC_ALL	Hepsi
CATEGORY_ETC_ETC	Diðerleri
CATEGORY_ETC_EVENT	Etkinlik Eþyalarý
CATEGORY_ETC_GIFTBOX	Sandýklar | Kutular
CATEGORY_ETC_MATRIMORY	Düðün
CATEGORY_ETC_PARTI	Savaþ Becerisi Kitaplarý
CATEGORY_ETC_POLYMORPH	Dönüþüm Küreleri
CATEGORY_ETC_RECIPE	Ýksir Oluþturma
CATEGORY_ETC_SEAL	Ruha Baðlama
CATEGORY_FISHING_PICK	Balýkçýlýk | Madencilik
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Kazmalar
CATEGORY_FISHING_PICK_ETC	Diðerleri
CATEGORY_FISHING_PICK_FISHING_POLE	Oltalar
CATEGORY_FISHING_PICK_FOOD	Balýklar
CATEGORY_FISHING_PICK_PICK_BOOK	Madencilik Rehberleri
CATEGORY_FISHING_PICK_STONE	Cevherler
CATEGORY_JEWELRY_ARMOR_EAR	Küpeler
CATEGORY_JEWELRY_ARMOR_FOOTS	Ayakkabýlar
CATEGORY_JEWELRY_ARMOR_NECK	Kolyeler
CATEGORY_JEWELRY_ARMOR_PENDANT	Týlsým
CATEGORY_JEWELRY_ARMOR_WRIST	Bilezikler
CATEGORY_JEWELRY_ITEM_BELT	Kemerler
CATEGORY_MOUNT_PET	Binekler | Petler
CATEGORY_MOUNT_PET_CHARGED_PET	Petler
CATEGORY_MOUNT_PET_EGG	Pet Yumurtalarý
CATEGORY_MOUNT_PET_FREE_PET	Seviye Atlayabilen Petler
CATEGORY_MOUNT_PET_MOUNT	Binekler
CATEGORY_POTION	Ýksirler
CATEGORY_POTION_ABILITY	Kullaným Mallarý
CATEGORY_POTION_ETC	Diðerleri
CATEGORY_POTION_HAIRDYE	Saç Renkleri
CATEGORY_SKILL	Beceriler
CATEGORY_SKILL_BOOK_OF_OBLIVION	Unutkanlýk Kitaplarý
CATEGORY_SKILL_ETC	Diðerleri
CATEGORY_SKILL_HORSE_SKILL_BOOK	At beceri kitabý
CATEGORY_SKILL_PAHAE	Misilleme | Güçlendirme
CATEGORY_SKILL_SKILL_BOOK	Beceri Kitaplarý
CATEGORY_SORT_LOWEST_ALL_PRICE	En düþük genel fiyat
CATEGORY_SORT_LOWEST_COUNT	Miktar (artan)
CATEGORY_SORT_LOWEST_PER_PRICE	En düþük bireysel fiyat
CATEGORY_SORT_MAXIMUN_ALL_PRICE	En yüksek genel fiyat
CATEGORY_SORT_MAXIMUN_COUNT	Miktar (azalan)
CATEGORY_SORT_MAXIMUN_PER_PRICE	En yüksek bireysel fiyat
CATEGORY_SORT_RECENT	En yeniler
CATEGORY_TUNING	Geliþtirmeler
CATEGORY_TUNING_ALCHEMY	Baþarý þansýný yükselt
CATEGORY_TUNING_ETC	Diðerleri
CATEGORY_TUNING_RESOURCE	Malzemeler
CATEGORY_TUNING_STONE	Zihin Taþlarý
CATEGORY_UNIQUE	Özel Eþyalar
CATEGORY_UNIQUE_ABILITY	Tüketim Mallarý
CATEGORY_UNIQUE_ETC	Diðerleri
CATEGORY_WEAPON_WEAPON_ARROW	Oklar
CATEGORY_WEAPON_WEAPON_BELL	Çanlar
CATEGORY_WEAPON_WEAPON_BOW	Yaylar
CATEGORY_WEAPON_WEAPON_CLAW	Pençe
CATEGORY_WEAPON_WEAPON_DAGGER	Hançerler
CATEGORY_WEAPON_WEAPON_FAN	Yelpazeler
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Mýzraklar
CATEGORY_WEAPON_WEAPON_QUIVER	Ok Çantalarý
CATEGORY_WEAPON_WEAPON_SWORD	Tek Elli Silah
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Çift Elli Silahlar
CHANGE_ALREADY_REGISTER	[Yansýtma] Bu nesne kaydedildi.
CHANGE_LOOK_CHANGE_ITEM	Bu nesneyi yansýtmak istiyor musun?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Yansýtma] Lütfen önce yansýtmanýn uygulanacaðý nesneyi kaldýr.
CHANGE_LOOK_COST	Yansýtmanýn fiyatý: %s Yang
CHANGE_LOOK_DEL_ITEM	Kaldýrýlan nesne silinir.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Yansýtma] Bu nesne yansýtýlamaz.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Yansýtma] Nesneyi kuþanmýþ durumdayken onu yansýtamazsýn.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Yansýtma] Bu nesne kaydedilemez.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Yansýtma] Bu nesne ruha baðlý.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Yansýtma] Lütfen yansýtmak istediðin nesneyi kaydet.
CHANGE_LOOK_INSERT_ITEM	[Yansýtma] Önce nesneyi kaydetmelisin.
CHANGE_LOOK_NEED_MONEY	Ya yeterli Yang'a sahip deðilsin ya da yeterli nesnen yok.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Yansýtma] "Yansýtma" penceresi açýkken bu iþlem yapýlamaz.
CHANGE_LOOK_TITLE	Yansýtma
CHANGE_LOOK_TITLE2	Binek dönüþümü
CHANGE_PET_PLEASE_APPEND_FIRST	Ýlk önce pet seçilmeli
CHANGE_TOOLTIP2_LINE1	Sola hedef nesneyi, saða da malzemeyi yerleþtir.
CHANGE_TOOLTIP2_LINE2	Yang veya dönüþüm markasý kullanarak bineðinin görünümünü deðiþtirmek için onay iþaretini týkla.
CHANGE_TOOLTIP2_LINE3	Bir dönüþüm markasý ile Yang kullanmadan bineðinin görünümünü deðiþtirebilirsin. (Marka bu esnada imha edilir.)
CHANGE_TOOLTIP2_LINE4	Bineðinin görünümü belirli bir sürede deðiþtirilirse, orijinal süre kalýr.
CHANGE_TOOLTIP2_LINE5	Bineðin kalýcý ve malzeme bineðin bir süresinin olmasý durumunda binek, malzeme bineðin süresi boyunca, deðiþtirilen görünüme sahip olur.
CHANGE_TOOLTIP_LINE1	Üzerine yansýtýlmasýný istediðin nesneyi sola koy.
CHANGE_TOOLTIP_LINE2	Diðer nesneyi saða koy.
CHANGE_TOOLTIP_LINE3	Soldaki nesnenin görünümü
CHANGE_TOOLTIP_LINE4	Yansýtma'yý (V) onayladýðýn ve senden Yang çekildiði takdirde deðiþir.
CHANGE_TOOLTIP_LINE5	Bu nesneyi kullandýðýnda,
CHANGE_TOOLTIP_LINE6	Yang kullanmadan eþyaný yansýtabilirsin.
CHANGE_TOOLTIP_TITLE	Yansýtma
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Kaydolma ekranýna tekrar dönemezsiniz.
CHANNEL_EMPTY_SERVER	Sunucu yok
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Bu kanal dolu! Lütfen baþka bir kanal seçiniz.
CHANNEL_NOT_FIND_INFO	Kanal üzerinden herhangi bir bilgiye ulaþýlamadý.
CHANNEL_PVP	Serbest düello
CHANNEL_SELECT_CHANNEL	Kanal Seç
CHANNEL_SELECT_REGION	Bölge seç.
CHANNEL_SELECT_SERVER	Sunucu seç
CHANNEL_STATUS_BUSY	Kalabalýk
CHANNEL_STATUS_FULL	Dolu
CHANNEL_STATUS_OFFLINE	Bilinmeyen
CHANNEL_STATUS_RECOMMENDED	Tavsiye edilen
CHANNEL_STATUS_VACANT	Boþ
CHANNEL_TEST_SERVER	Sunucuyu test et
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Karakter oluþtur
CHARACTER_NAME	Ýsim
CHARACTER_SELECT_MODE	Karakter seç
CHARGE_BEAD_QUESTION	Gereken animasfer: %d. Devam etmek istiyor musun?
CHATTING_SETTING_ADD	Sekme ekle
CHATTING_SETTING_ADD_MAX	Daha fazla ekleyemezsin.
CHATTING_SETTING_CHANGE_TITLE_NAME	Bu sohbet adýný kaydetmek istiyor musun?
CHATTING_SETTING_CHANGE_TITLE_NOT	Genel sohbetin adý deðiþtirilemez.
CHATTING_SETTING_CLEAR_QUESTION	Sýfýrla?
CHATTING_SETTING_DEL	Alaný kaldýr
CHATTING_SETTING_LANGUAGE_OFF	Kapalý
CHATTING_SETTING_LANGUAGE_ON	Açýk
CHATTING_SETTING_QUESTION_DESC_1	1. Canavarlarý öldürmek için alýnan EXP veya kaybedilen EXP için bir mesaj ayarla.
CHATTING_SETTING_QUESTION_DESC_2	2. Düþen ganimet ve kazanýlan Yang için bir mesaj ayarla.
CHATTING_SETTING_RETURN	Alaný geri yükle
CHATTING_SETTING_SETTING	Ayarlar
CHAT_ALL	Genel
CHAT_BLOCK	Blok
CHAT_DICE_INFO	Atýþ
CHAT_GUILD	Lonca
CHAT_INFORMATION	Bilgi
CHAT_INSULT_STRING	Bu cümle yanlýþ kelimeler içeriyor.
CHAT_LOG	Eski mesajý göster[L]
CHAT_LOG_TITLE	Sohbet Protokolü
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Ýstemci sürümün eþleþmediði için oturumun kapatýldý. Lütfen sürümünü güncelle ve tekrar oturum aç.
CHAT_NORMAL	Normal
CHAT_NOTICE	Sunucu
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Sohbet yolla
CHAT_SEND_MEMO	Fýsýltý gönder[Shift+Enter]
CHAT_SHOUT	Baðýrmak
CHAT_SHOUT_LIMIT	15 saniyede bir baðýrabilirsiniz.
CHAT_WHISPER	Fýsýldama
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Para düþüremezsin.
CHEQUE_SYSTEM_PICK_WON	%s Won aldýn.
CHEQUE_SYSTEM_SELL_PRICE	[Satýþ Fiyatý]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_USE_WON	%s Won harcandý.
CLEAR_FLOOR	Kat
CLEAR_TIME	Zaman
CLICK_BEAD_DESCRIPTION	Animasferler Zodyak tapýnaðýna giriþ için gereklidir. Bunun için Iþýnlayýcý köyüne git.
ClosePetChangeWndButton	Kapat
COMB_ACCE_IS_CONTINUE_PROCESS	Devam etmek istiyor musun?
COMB_ACCE_WARNING_MESSAGE	Baþarý veya kýsmi baþarýda orijinal imha edilir. Transfer baþarýsýz olabilir. Baþarýsýzlýk veya kýsmi baþarý durumunda alýcýnýn emiþ oraný düþer.
COMB_ACCE_WARNING_MESSAGE1	Baþarý veya kýsmi baþarýda orijinal imha edilir.
COMB_ACCE_WARNING_MESSAGE2	Transfer baþarýsýz olabilir.
COMB_ACCE_WARNING_MESSAGE3	Baþarýsýzlýk veya kýsmi baþarý durumunda alýcýnýn emiþ oraný düþer.
COMB_ACCE_WILL_REMOVE_MATERIAL	Baþarý veya kýsmi baþarýda orijinal imha edilir.
COMB_ALREADY_APPEND	Bu eþya zaten seçildi.
COMB_CANT_APPEND_ITEM	Bu nesne kullanýlamaz.
COMB_CANT_APPEND_SEALED_ITEM	Ruha baðlý nesneler kullanamazsýn.
COMB_CANT_BASE_ITEM	Zaten bir bonus içeren bir kuþak, alýcý olamaz.
COMB_CANT_MATCH_DRAINRATE	Bonus transferi için her iki eþyanýn da emiþ oraný ayný olmalý.
COMB_CANT_MATCH_GRADE	Bonus transferi için her iki eþyanýn da derecesi ayný olmalý.
COMB_CANT_MATERIAL_ITEM	Orijinal eþya bir bonus içermeli.
COMB_COST	Ücret: %s
COMB_IS_CONTINUE_PROCESS	Devam etmek istiyor musun?
COMB_NOTICE	Kitaplarý takas etmek isterken özel dükkan açamazsýn.
COMB_NOTICE_NOT_OPEN	Özel dükkan açýkken kitap takas edemezsin.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Bonuslarý aktarmak için orijinal, alýcý ve transfer eþyasýna ihtiyacýn var.
COMB_NOT_FULL_BOOK	Yok, biz böyle anlaþamayýz. Sana anlattýðým gibi, takas sadece bana 10 kitap verirsen olur.
COMB_NOT_ITEM_IN_INVENTORY	Kuþandýðýn eþyalarý kullanamazsýn.
COMB_NOT_MEDIUM_ITEM	Bu nesne kullanýlamaz.
COMB_WILL_REMOVE_MATERIAL	Orijinal, baþarý durumunda imha edilir.
COMMUNITY_ADD_BLOCK	%s engellendi.
COMMUNITY_ADD_FRIEND	%s arkadaþ listesine eklendi.
COMMUNITY_ALREADY_BLOCKED	Zaten engellendi.
COMMUNITY_ALREADY_FRIEND	Zaten arkadaþsýnýz.
COMMUNITY_ALREADY_REQUESTED_BEFORE	Zaten bir arkadaþlýk isteði gönderdin.
COMMUNITY_BLOCKED_ALREADY	%s zaten engellendi.
COMMUNITY_BLOCKED_EXCHANGE	Ticaret
COMMUNITY_BLOCKED_FRIEND_REQUEST	Arkadaþlýk isteði
COMMUNITY_BLOCKED_FUNCTION	Engellendi:
COMMUNITY_BLOCKED_GUILD_INVITE	Lonca daveti
